"idweb","dateparution","nomacheteur","objet","etat","url_avis","requetes","mention_AIAct"
"26-19077","2026-02-25","Ministère de l'Interieur","AOO Composants Biométriques du Ministère de l'intérieur (CBIMI)","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-19077","biometrie","NON"
"26-10430","2026-01-31","Ministère de l'Interieur","AOO Composants Biométriques du Ministère de l'intérieur (CBIMI)","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-10430","biometrie","NON"
"26-32573","2026-04-01","Ministère de l'Interieur","AOO Composants Biométriques du Ministère de l'intérieur (CBIMI)","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-32573","biometrie","NON"
"26-35933","2026-04-10","OFFICE FRANCAIS DE LA BIODIVERSITE","Collecte de données biométriques et biologiques sur tous les stades de l’anguille (civelles, jaunes et argentées) capturées par la pêche professionnelle et analyse des otolithes","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-35933","biometrie","NON"
"26-36478","2026-04-12","CHU DE SAINT ETIENNE","DMS2024-02 AO092 Pour la fourniture de Dispositifs Médicaux Stériles à usage unique","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-36478","biometrie","NON"
"26-31235","2026-03-27","Métropole de Lyon","Marché Global de Performance pour la conception, la réalisation et l'exploitation-maintenance d'une unité de méthanisation des boues sur la station d'épuration de Pierre Bénite","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-31235","biometrie","NON"
"26-24599","2026-03-11","CHU ROUEN NORMANDIE","Fourniture de drapage, habillage, protections, housses et trousses - vague 1","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-24599","biometrie","NON"
"26-38749","2026-04-17","CHU BORDEAUX","Implants orthopédiques, chirurgie maxillo faciale et chirurgie de la main, divers consommables chirurgie orthopédique au profit du groupement régional de commandes - GCS Nouvelle-Aquitaine","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-38749","biometrie","NON"
"26-6698","2026-01-21","Societe Publique Locale Colibri","Fourniture de carburant et installation d'une cuve de stockage à accès par badge biométrique - SPL COLIBRI","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-6698","biometrie","NON"
"26-41382","2026-04-24","CH LE MANS","Fourniture de DISPOSITIFS MEDICAUX CONSOMMABLES pour ORTHOPEDIE, TRAUMATOLOGIE & CHIRURGIE MAXILLO-FACIALE stériles et non stériles","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-41382","biometrie","NON"
"26-30917","2026-03-26","CHU DE SAINT ETIENNE","Pour la fourniture de Dispositifs Médicaux Stériles à usage unique","INITIAL","https://www.boamp.fr/pages/avis/?q=idweb:26-30917","biometrie","NON"
